level_0,Name,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
61,Wolfenstein: The New Order,2014.0,Shooter,Bethesda Softworks,0.47,0.8,0.03,0.24,1.55
62,Ratchet & Clank (2016),2016.0,Platform,Sony Computer Entertainment,0.5,0.76,0.04,0.24,1.54
63,Doom (2016),2016.0,Shooter,Bethesda Softworks,0.54,0.69,0.02,0.24,1.49
64,NBA 2K14,2013.0,Sports,Take-Two Interactive,0.89,0.31,0.01,0.23,1.45
65,Tomb Raider (2013),2014.0,Action,Square Enix,0.47,0.65,0.06,0.22,1.4
66,The Elder Scrolls V: Skyrim,2016.0,Role-Playing,Bethesda Softworks,0.48,0.59,0.04,0.21,1.33
67,Metal Gear Solid V: Ground Zeroes,2014.0,Action,Konami Digital Entertainment,0.45,0.47,0.17,0.18,1.27
68,WWE 2K16,2015.0,Sports,Take-Two Interactive,0.41,0.6,0.0,0.2,1.21
69,Mad Max (2015),2015.0,Action,Warner Bros. Interactive Entertainment,0.36,0.59,0.04,0.18,1.17
70,WWE 2K15,2014.0,Sports,Take-Two Interactive,0.39,0.57,0.0,0.19,1.15
71,Naruto Shippuden: Ultimate Ninja Storm 4,2016.0,Fighting,Namco Bandai Games,0.41,0.45,0.11,0.17,1.14
72,Watch Dogs 2,2016.0,Action,Ubisoft,0.37,0.58,0.0,0.18,1.13
73,Alien: Isolation,2014.0,Shooter,Sega,0.34,0.57,0.04,0.17,1.13
74,Dragon Ball: XenoVerse,2015.0,Fighting,Namco Bandai Games,0.3,0.52,0.12,0.16,1.11
75,Project CARS,2015.0,Racing,Slightly Mad Studios,0.2,0.7,0.02,0.16,1.09
76,EA Sports UFC,2014.0,Sports,Electronic Arts,0.46,0.41,0.01,0.17,1.05
77,Rayman Legends,2014.0,Platform,Ubisoft,0.22,0.64,0.0,0.16,1.01
78,Final Fantasy Type-0,2015.0,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.98
79,Evolve,2015.0,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.15,0.96
80,Rise of the Tomb Raider,2016.0,Adventure,Square Enix,0.23,0.53,0.04,0.14,0.94
81,EA Sports UFC 2,2016.0,Sports,Electronic Arts,0.29,0.49,0.0,0.15,0.93
82,Lego Batman 3: Beyond Gotham,2014.0,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0.0,0.15,0.93
83,MLB 15: The Show,2015.0,Sports,Sony Computer Entertainment,0.68,0.08,0.0,0.17,0.92
84,Injustice: Gods Among Us,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.46,0.3,0.0,0.16,0.91
85,Street Fighter V,2016.0,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9
86,LEGO Jurassic World,2015.0,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.02,0.14,0.9
87,Madden NFL 25,2013.0,Sports,Electronic Arts,0.63,0.13,0.0,0.15,0.9
88,MLB 16: The Show,2016.0,Action,Sony Computer Entertainment,0.72,0.0,0.0,0.17,0.89
89,Borderlands: The Handsome Collection,2015.0,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88
90,Guitar Hero Live,2015.0,Misc,Activision,0.34,0.38,0.0,0.14,0.86
91,Thief (2014),2014.0,Action,Square Enix,0.28,0.38,0.03,0.13,0.82
92,Pro Evolution Soccer 2016,2015.0,Sports,Konami Digital Entertainment,0.13,0.42,0.13,0.1,0.79
93,Titanfall 2,2016.0,Shooter,Electronic Arts,0.34,0.25,0.05,0.12,0.75
94,Pro Evolution Soccer 2015,2014.0,Sports,Konami Digital Entertainment,0.09,0.45,0.11,0.1,0.75
95,Final Fantasy XIV: A Realm Reborn,2014.0,Role-Playing,Square Enix,0.33,0.23,0.08,0.11,0.75
96,Final Fantasy X/X-2 HD Remaster,2015.0,Role-Playing,Square Enix,0.29,0.27,0.06,0.11,0.74
97,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015.0,Action,Square Enix,0.17,0.13,0.37,0.06,0.74
98,LEGO Marvel's Avengers,2016.0,Action,Warner Bros. Interactive Entertainment,0.26,0.35,0.0,0.12,0.73
99,LEGO Dimensions,2015.0,Action,Warner Bros. Interactive Entertainment,0.24,0.37,0.0,0.12,0.73
100,MLB 14: The Show,2014.0,Sports,Sony Computer Entertainment America,0.58,0.0,0.0,0.14,0.72
101,Disney Infinity 3.0,2015.0,Action,Disney Interactive Studios,0.24,0.37,0.0,0.12,0.72
102,Dragon Ball: Xenoverse 2,2016.0,Action,Namco Bandai Games,0.24,0.27,0.09,0.1,0.71
103,Lego Star Wars: The Force Awakens,2016.0,Action,Warner Bros. Interactive Entertainment,0.16,0.43,0.01,0.11,0.7
104,Minecraft: Story Mode,2015.0,Adventure,Mojang,0.25,0.33,0.0,0.11,0.69
105,Sniper Elite 3,2014.0,Shooter,505 Games,0.24,0.34,0.0,0.11,0.68
